Time		FC3,FCZ,FC4,C3 ,Cz ,C4 ,CP3,CPz,CP4
13:48:47:306633,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:307685,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:307685,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:307685,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:310923,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:311921,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:313566,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:314614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:314614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:314614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:314614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:314614,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:320521,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:321517,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:622788,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:47:925012,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:48:680319,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:49:20267,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:49:346107,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:49:652328,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:50:264131,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:50:624365,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:51:122589,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:51:443712,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:51:766908,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:52:81702,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:52:398387,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:52:714245,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:53:28934,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:53:351627,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:53:713312,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:54:39567,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:54:403280,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:54:702295,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:55:10357,-5,-5,-5,-5,-5,-5,-5,-5,-5
13:48:55:317427,244,81,127,185,25,2,181,254,71
13:48:55:487394,208,89,172,186,200,177,248,115,154
13:48:55:586250,36,7,136,63,242,89,161,146,77
13:48:55:686605,246,179,251,113,151,248,228,23,149
13:48:55:786332,103,203,134,256,29,211,240,80,120
13:48:55:896450,87,40,243,211,254,219,53,20,162
13:48:55:998363,166,210,228,173,172,208,118,159,132
13:48:56:99705,14,34,119,120,135,191,143,172,165
13:48:56:202664,93,77,90,50,65,175,73,253,176
13:48:56:303419,88,4,131,193,182,107,56,53,86
13:48:56:404270,175,6,187,147,175,95,151,154,78
13:48:56:506604,206,149,174,161,6,187,243,180,127
13:48:56:608347,244,17,134,48,131,10,19,201,86
13:48:56:713524,171,211,218,54,248,182,191,193,91
13:48:56:814212,24,242,236,5,134,124,56,105,143
13:48:56:914507,182,228,231,222,97,19,162,186,79
13:48:57:17613,237,234,46,212,154,139,101,69,11
13:48:57:118523,147,145,33,159,149,254,205,158,75
13:48:57:220204,10,234,3,242,100,108,28,75,236
13:48:57:320442,56,233,173,166,123,190,2,81,24
13:48:57:425677,203,64,24,198,12,3,165,86,223
13:48:57:526456,220,53,12,177,112,40,36,36,233
13:48:57:631090,226,61,255,6,119,103,245,43,48
13:48:57:729419,48,172,237,93,108,131,19,96,250
13:48:57:827503,30,154,190,173,210,186,251,248,149
13:48:57:932072,115,12,101,29,169,160,205,171,46
13:48:58:32359,229,102,179,150,70,6,156,148,180
13:48:58:133280,134,53,24,67,182,179,23,253,238
13:48:58:237477,188,170,146,180,156,213,28,100,225
13:48:58:341911,144,53,106,223,61,203,192,73,177
13:48:58:443189,93,137,75,123,66,6,69,206,103
13:48:58:547405,195,118,189,181,157,87,180,32,126
13:48:58:647226,241,238,27,176,172,249,12,11,180
13:48:58:749611,42,201,188,219,11,149,200,151,184
13:48:58:851384,116,74,244,59,248,208,41,173,39
13:48:58:951500,102,248,73,184,73,57,47,129,152
